module,revisions,code
hibernate-core/src/main/java/org/hibernate/type/AbstractStandardBasicType.java,5,300
hibernate-envers/src/main/java/org/hibernate/envers/query/AuditQueryCreator.java,5,76
hibernate-core/src/main/java/org/hibernate/loader/internal/EntityJoinableAssociationImpl.java,5,51
hibernate-core/src/main/java/org/hibernate/loader/entity/DynamicBatchingEntityLoaderBuilder.java,5,207
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractGeneralDataRegionTestCase.java,5,141
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CollectionReturn.java,5,54
hibernate-core/src/main/java/org/hibernate/engine/jdbc/dialect/internal/StandardDatabaseInfoDialectResolver.java,5,148
hibernate-ehcache/hibernate-ehcache.gradle,5,16
hibernate-core/src/main/java/org/hibernate/loader/collection/DynamicBatchingCollectionInitializerBuilder.java,5,192
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultMergeEventListener.java,5,313
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/AbstractSingularAttributeFetch.java,5,70
hibernate-core/src/main/java/org/hibernate/engine/spi/CascadingAction.java,5,22
hibernate-entitymanager/src/main/java/org/hibernate/jpa/criteria/CriteriaQueryImpl.java,5,294
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/management/impl/EhcacheHibernateMBeanRegistrationImpl.java,5,113
hibernate-core/src/main/java/org/hibernate/action/internal/EntityUpdateAction.java,5,244
hibernate-core/src/main/java/org/hibernate/loader/spi/ResultSetProcessingContext.java,5,55
hibernate-core/src/main/java/org/hibernate/dialect/function/TemplateRenderer.java,5,82
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/tree/IdentNode.java,5,268
hibernate-core/src/main/java/org/hibernate/dialect/SybaseASE15Dialect.java,5,380
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaQueryTranslator.java,5,543
hibernate-core/src/main/java/org/hibernate/procedure/ProcedureCall.java,5,27
hibernate-core/src/main/java/org/hibernate/tuple/component/AbstractCompositeBasedAttribute.java,5,29
hibernate-core/src/main/java/org/hibernate/stat/spi/StatisticsImplementor.java,5,37
hibernate-core/src/test/java/org/hibernate/test/multitenancy/schema/SchemaBasedMultiTenancyTest.java,5,259
hibernate-core/src/main/java/org/hibernate/engine/query/spi/HQLQueryPlan.java,5,276
hibernate-core/src/test/java/org/hibernate/jpa/version/JpaSpecVersionValueUpdatingTest.java,5,94
documentation/src/main/docbook/manual/en-US/content/query_hql.xml,5,987
hibernate-core/src/main/java/org/hibernate/service/StandardServiceInitiators.java,5,52
hibernate-core/src/test/java/org/hibernate/test/criteria/CriteriaQueryTest.java,5,1707
hibernate-core/src/main/java/org/hibernate/id/TableGenerator.java,5,141
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/AbstractEhcacheRegionFactory.java,5,146
hibernate-core/src/main/java/org/hibernate/loader/internal/EntityLoadQueryImpl.java,5,30
hibernate-core/src/main/java/org/hibernate/persister/entity/SingleTableEntityPersister.java,5,836
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/ClobTypeDescriptor.java,5,94
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/reventity/trackmodifiedentities/DefaultTrackingEntitiesTest.java,4,161
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/EntityFetchOwnerDelegate.java,4,125
hibernate-core/src/test/java/org/hibernate/connection/DriverManagerRegistrationTest.java,4,137
hibernate-core/src/main/java/org/hibernate/tool/hbm2ddl/SchemaExport.java,4,444
hibernate-core/src/main/java/org/hibernate/dialect/IngresDialect.java,4,211
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiArchiveDescriptor.java,4,75
hibernate-core/src/main/java/org/hibernate/internal/FilterConfiguration.java,4,59
hibernate-core/src/main/java/org/hibernate/loader/plan/internal/LoadPlanImpl.java,4,28
hibernate-core/src/main/java/org/hibernate/loader/criteria/CriteriaJoinWalker.java,4,240
hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryRegistry.java,4,152
hibernate-core/src/main/java/org/hibernate/engine/jdbc/ColumnNameCache.java,4,26
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/naturalid/ReadOnlyAccess.java,4,16
hibernate-core/src/main/java/org/hibernate/engine/transaction/internal/TransactionFactoryInitiator.java,4,34
hibernate-core/src/main/java/org/hibernate/loader/internal/AbstractEntityLoadQueryImpl.java,4,77
hibernate-entitymanager/src/test/java/org/hibernate/jpa/test/ejb3configuration/PersisterClassProviderTest.java,4,494
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionDelegatorBaseImpl.java,4,611
documentation/src/main/docbook/quickstart/tutorials/osgi/unmanaged-jpa/pom.xml,4,71
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/basic/TransactionRollbackBehaviour.java,4,67
hibernate-core/src/main/java/org/hibernate/dialect/Cache71Dialect.java,4,400
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractNonFunctionalTestCase.java,4,66
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/FetchOwnerDelegate.java,4,10
documentation/src/main/docbook/devguide/en-US/chapters/transactions/Transactions.xml,4,499
hibernate-core/src/test/java/org/hibernate/sql/TemplateTest.java,4,197
hibernate-core/src/main/java/org/hibernate/engine/spi/CollectionEntry.java,4,257
hibernate-core/src/main/java/org/hibernate/loader/internal/CollectionJoinableAssociationImpl.java,4,54
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/GlobalConfiguration.java,4,118
hibernate-core/src/test/java/org/hibernate/test/jpa/ql/NamedNativeQueryTest.java,4,248
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/onetomany/BasicList.java,4,99
