entity,n-authors,n-revs
hibernate-core/src/main/java/org/hibernate/id/IdentityGenerator.java,3,5
hibernate-proxool/hibernate-proxool.gradle,3,5
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/entity/EntityRegionImplTestCase.java,3,5
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/AbstractGeneralDataRegionTestCase.java,3,5
hibernate-core/src/main/java/org/hibernate/id/TableGenerator.java,3,5
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/ByteArrayTypeDescriptor.java,3,4
hibernate-core/src/main/java/org/hibernate/internal/util/collections/ArrayHelper.java,3,4
hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/BaseEntityManagerFunctionalTestCase.java,3,4
hibernate-core/src/main/java/org/hibernate/engine/query/spi/NativeSQLQueryPlan.java,3,4
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/SingleNodeTestCase.java,3,4
hibernate-core/src/main/java/org/hibernate/collection/internal/PersistentMap.java,3,4
hibernate-core/src/main/java/org/hibernate/cache/internal/NoCachingRegionFactory.java,3,4
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/impl/BaseGeneralDataRegion.java,3,4
hibernate-core/src/main/java/org/hibernate/criterion/Property.java,3,4
hibernate-testing/src/main/java/org/hibernate/testing/DialectChecks.java,3,4
hibernate-envers/src/test/java/org/hibernate/envers/test/integration/customtype/EnumTypeTest.java,3,4
hibernate-entitymanager/src/main/java/org/hibernate/ejb/metamodel/MetadataContext.java,3,4
hibernate-core/src/main/java/org/hibernate/tool/hbm2ddl/SchemaExport.java,3,4
hibernate-ehcache/src/main/java/org/hibernate/cache/ehcache/internal/strategy/ReadOnlyEhcacheNaturalIdRegionAccessStrategy.java,3,4
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionDelegatorBaseImpl.java,3,4
hibernate-envers/src/main/java/org/hibernate/envers/entities/EntityInstantiator.java,3,4
hibernate-core/src/test/java/org/hibernate/test/constraint/ConstraintTest.java,3,4
hibernate-entitymanager/src/matrix/java/org/hibernate/ejb/test/transaction/TransactionJoiningTest.java,3,4
hibernate-core/src/test/java/org/hibernate/sql/TemplateTest.java,3,4
hibernate-infinispan/src/test/java/org/hibernate/test/cache/infinispan/functional/cluster/ClusterAwareRegionFactory.java,3,4
hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/AuditEntitiesConfiguration.java,3,4
hibernate-core/src/test/java/org/hibernate/test/annotations/uniqueconstraint/UniqueConstraintValidationTest.java,3,4
hibernate-core/src/main/java/org/hibernate/dialect/lock/PessimisticReadSelectLockingStrategy.java,3,4
hibernate-core/src/main/java/org/hibernate/id/SequenceIdentityGenerator.java,3,4
hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryRegistry.java,3,4
hibernate-core/src/main/java/org/hibernate/type/descriptor/java/PrimitiveCharacterArrayTypeDescriptor.java,3,4
