entity,author,author-revs,total-revs
documentation/src/main/docbook/devguide/en-US/chapters/osgi/extras/extension_point_blueprint.xml,Brett Meyer,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/Persistence_Context.xml,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/CheckingLazinessWithHibernate.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/CheckingLazinessWithJPA.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/CheckingLazinessWithJPA2.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/ContainsWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/ContainsWithSession.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/DeletingWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/DeletingWithSession.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/GetReferenceWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/GetReferenceWithSession.java,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/LoadWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/LoadWithSession.java,Steve Ebersole,2,2
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/MakingPersistentWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/MakingPersistentWithSession.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/ManagedUpdateWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/ManagedUpdateWithSession.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/MergeWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/MergeWithSession.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/NaturalIdLoading.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/ReattachingWithSession1.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/ReattachingWithSession2.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/RefreshWithEM.java,Steve Ebersole,1,1
documentation/src/main/docbook/devguide/en-US/chapters/pc/extras/RefreshWithSession.java,Steve Ebersole,1,1
